Flight No.,Date and time (UTC),"Version, booster[h]",Launch site,Payload[i],Payload mass,Orbit,Customer,Launch outcome,Booster landing,source_table
367,"August 28, 2024 07:48[362]",F9 B5 B1062‑23,"Cape Canaveral, SLC‑40",Starlink: Group 8-6 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Failure (ASOG),1
367,"Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[363] The FAA required SpaceX to investigate the landing failure.[364][365] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[31]",1
368,"August 31, 2024 07:43[366]",F9 B5 B1069‑18,"Cape Canaveral, SLC‑40",Starlink: Group 8-10 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI),1
368,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",1
369,"August 31, 2024 08:48[367]",F9 B5 B1081‑9,"Vandenberg, SLC-4E",Starlink: Group 9-5 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),1
369,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.",1
370,"September 5, 2024 15:33[368]",F9 B5 B1077‑15,"Cape Canaveral, SLC‑40",Starlink: Group 8-11 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI),1
370,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",1
371,"September 6, 2024 03:20[369]",F9 B5 B1063‑20,"Vandenberg, SLC‑4E",NROL-113 (21 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY),1
371,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,1
372,"September 10, 2024 09:23[370]",F9 B5 B1083‑4,"Kennedy, LC‑39A",Polaris Dawn (Crew Dragon C207.3 Resilience),"~13,000 kg (29,000 lb)",LEO,Polaris Program,Success,Success (JRTI),1
372,"First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]","First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[371] The mission was also the first test of Dragon's laser interlink communication via Starlink.[372] Resilience has been modified extensively for this mission.[373]",1
373,"September 12, 2024 08:52[374]",F9 B5 B1078‑13,"Cape Canaveral, SLC‑40",BlueBird Block 1 (5 satellites)[375],"7,500 kg (16,500 lb)",LEO,AST SpaceMobile,Success,Success (LZ‑1),1
373,"Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.","Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.",1
374,"September 13, 2024 01:45[376]",F9 B5 B1071‑18,"Vandenberg, SLC-4E",Starlink: Group 9-6 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),1
374,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",1
375,"September 17, 2024 22:50[377]",F9 B5 B1067‑22,"Cape Canaveral, SLC‑40",Galileo-L13 (FOC FM26 & FM32),"1,600 kg (3,500 lb)",MEO,ESA,Success,Success (JRTI),1
375,"Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]","Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[378] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[377]",1
376,"September 20, 2024 13:50[379]",F9 B5 B1075‑13,"Vandenberg, SLC-4E",Starlink: Group 9-17 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY),1
376,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",1
377,"September 25, 2024 04:01[380]",F9 B5 B1081‑10,"Vandenberg, SLC-4E",Starlink: Group 9-8 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY),1
377,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",1
378,"September 28, 2024 17:17[381]",F9 B5 B1085‑2,"Cape Canaveral, SLC‑40",Crew-9 (Crew Dragon C212.4 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[71],Success,Success (LZ‑1),1
